Date,Close,High,Low,Open,Volume,Year,Month,Day,Daily_Return,Price_Change,Days,PolyTrend,LoessTrend,Close_Diff
2019-05-15,-0.20968514926411821,-0.22173532808588226,-0.3101451264122628,-0.33351294137351595,1.1235681458873907,2019,5,15,1.0154150193589173,1.829364234561749,0,-0.8035350510339265,-0.17481883927141514,
2019-05-16,-0.10016341675039919,-0.08344596410360396,-0.1616728653397942,-0.19878876056956668,1.2962463185643556,2019,5,16,1.2699167179888242,1.454007240935438,1,-0.8010067139016528,-0.17109212234835405,0.10952173251371902
2019-05-17,-0.16997556242021652,-0.13229131173799125,-0.16038177207895934,-0.16686360847116297,-0.22596614499943937,2019,5,17,-0.819774620124006,-0.03803124244083303,2,-0.7984860189927114,-0.16742058061563994,-0.06981214566981733
2019-05-20,-0.19047084920590876,-0.23442247216396905,-0.27722311391909316,-0.21730540689041788,0.5395391512977824,2019,5,20,-0.265343177587363,0.4030126735320186,5,-0.7909696896867449,-0.16380785050668367,-0.020495286785692235
2019-05-21,-0.19623516362559534,-0.1988985168294195,-0.1616728653397942,-0.16558657301608698,-1.0277360698543248,2019,5,21,-0.09408758181752061,-0.44153875807453985,6,-0.7884794657519961,-0.16025780155940517,-0.005764314419686584
2019-05-22,-0.21224712143812802,-0.2597967609544971,-0.21008774907877817,-0.22624441052928534,-1.173526343366058,2019,5,22,-0.21490923534547693,0.21533418141080465,7,-0.7859968350810111,-0.1567742763927014,-0.016011957812532673
2019-05-23,-0.2622043516748759,-0.27184941512165656,-0.24107324497726598,-0.24220698657848722,-1.0007630824005955,2019,5,23,-0.6182092301666586,-0.2820107879607219,8,-0.7835217878818764,-0.15336096736166843,-0.04995723023674786
2019-05-24,-0.19559479291345044,-0.24520662988762673,-0.21008774907877817,-0.21155886993515946,-1.1992825682942718,2019,5,24,0.7779930721597116,0.24348470341820064,9,-0.781054314362678,-0.1500212269808053,0.06660955876142544
2019-05-28,-0.2314614221368154,-0.22681028251965843,-0.2036325300132763,-0.1847416157488979,-0.80746801742067,2019,5,28,-0.4486132352064194,-0.6761359817566052,13,-0.7712599612469746,-0.14675784864984812,-0.03586662922336495
2019-05-29,-0.29614986812132826,-0.29595496514515196,-0.2974282406579392,-0.26008499385622214,-0.7505609700734964,2019,5,29,-0.7983477205581194,-0.5166115869044786,14,-0.7688302092487527,-0.1435732189066873,-0.06468844598451287
2019-05-30,-0.3051165254271695,-0.3168885470893003,-0.27464092739742346,-0.28881767990951945,0.30381055684411956,2019,5,30,-0.13606900033703168,-0.22570973456204693,15,-0.7664079721789849,-0.14046912101469775,-0.00896665730584123
